Username,Email,"Roll No","Class Name","First Name","Middle Name","Last Name",Gender,"Birth Date",Address,"City Name","State Name","Zip Code","Mobile Number","Alternate Mobile Number","Phone Number"
23544354,doct333or@exmaile.com,209336841,Three,asdsr,jioijh,fgfdgfd,male,11/12/1997,gg,gg,gg,drtdr,,,054-6492057
a.maiuuikvana,maks.ashviiiuiun03@gmail.com,321950982,Five,01ashvin,,awde,,19/04/1998,,,,,,,"08 -9162071"
AAA,AA@mail.com,319071999,Three,AAAA,,BB,male,27/05/1998,Abad,Abad,Abad,,,,"09 -7920995"
ajay,ajay@mail.om,209312222,Five,Ajay,,Patel,male,12/05/1998,Abad,Abad,,52422,,,"02 -6762442"
ashvin03,maks@gmial.com,101,Five,ashvin,m,makvana,male,05/24/1998,halvad,halvad,gujarat,333333,,,9687577525
ashvin123,maks.ashvin03@gmail.com,207167685,Five,ashvin01,,ujh,male,18/10/1998,sdfsd,gfhgfh,sdfsd,,,,054-6477233
ashvin123g,maks.ggashvin03@gmail.com,320664501,Five,ashvin01,,ujh,,23/04/1998,,,,,,,054-642877
dfdsfsfdsf,fdvdv@efd.fd,1233,Five,"ashvin ",M,Makvana,male,05/12/2015,ere,er,re,re,,,3333333333
dfgdfg,drtddr@gtfdt.fghf,207438235,Five,jkjj,,jjj,male,19/11/1998,jjjj,jj,jj,,,,"03 -5077842"
dfhyrtuyrt,fghfdh@reyrt.fyft,5001,Five,ashivnrrr,hihrrr,khkjrrr,male,07/03/2015,sdfdsf,dsfdsf,sdfsd,44444,3534253433,3453453453,34535333
dsfdsf,sdfsf@def.dsf,1001,Five,asfb,hu,uih,male,02/08/2000,sd,sad,sd,222222,,,222222
elissa,eliss@mymail.com,102,Five,Elissa,L,Peter,,07/02/15,Verona,Ferrara,Ferrara,89891,9999999999,9999999999,9999999999
elissa11111,eliss@mym11ail.com,102,Forth,Elissa,L,Peter,female,07/02/15,Verona,Ferrara,Ferrara,89891,9999999999,9999999999,9999999999
fgdfgdf,maks.adfgdfgshvin03@gmail.com,318741378,Five,drfg,,gf,male,21/12/1997,sdfsd,sdfsf,dfg,,,,"08 -9469498"
fgfdg,dfsd@gffs.com,25123,Five,Studentfirstname,שלום,Lastname,male,07/01/2015,gdf,fddf,,254236,65125485,6511312156,89421165
fhfh,rgtdgddf@ggyj.gffd,5874,Five,fgdffd,gdfgdfgdfg,dfgd,female,dfgd,dgdf,gdgdfg,dfgdfg,545454,5454545454,2323232323,33444555
ggg,ggg@mail.com,318289329,Three,GGGGG,,HHHHH,male,25/11/1997,Abad,Abad,,,,,"08 -6489786"
GGGG,zalabhaskar2618@gmail.com,,Forth,GGGG,,HHH,male,04/14/2016,California,California,,2541522,,,85284263
gjgj,ghhfgfgh@rfere.gvgh,320582943,Five,fd,gdfg,dfgdfgdfg,male,03-09-2015,sdfsdf,gfhgfh,gujarat,444444,4444444444,4444444444,4444444444444
hardik,hardik@mail.com,209506575,Three,Hardik,,Patel,male,23/10/1998,Abad,Abad,,,,,077-4017001
jemmy,jemmy.123@gail.com,0012,Five,Jemmy,F,Micle,male,07/10/2007,Newyourk,Newyourk,,256325,65232512,,256321
jignesh,jignesh@gmail.com,320779390,Three,Jignesh,,Patel,male,24/07/1998,Ahmedabad,Ahmedbad,,258632,,,050-6815267
john,john@mymail.com,101,Five,John,M,Mark,,07/02/15,"Rd. Victoria",Atlanta,Georgia,1201,9898989898,9898989898,9898989898
john1111,bhaskar@mym11ail123.com,101,Forth,John,M,Mark,male,07/02/15,"Rd. Victoria",Atlanta,Georgia,1201,9898989898,9898989898,52525252525
mayur,mayur@mail.com,121111111,Three,Mayur,,Patel,male,,,,Gujarat,,,,
pratik,pratik@gmail.com,101,Five,Prat'ik,Maheshbhai,Patel,male,05/18/2005,Navarangpura,Ahmedabad,Gujrat,258,9574713552,92363233,8122152136
rishi123,rishi@gmail.com,315060962,Five,Rishi,,Patel,female,24/11/1998,Ahmedabad,Ahmedabad,,52633,,,054-8371819
rtt,fgsd@higd.podf,155,Five,Alina,m,Bibber,female,05/04/2015,iuoui,uioui,uioui,uioui,,,767
sanjay245,sanjay@mail.com,327307765,two,Sanajy,,Patel,male,12/08/1998,Abad,Abad,,52415,,,054-5655385
sdsdff,sfsd@fs.com,209299890,Three,gdfgf,,fdgd,male,24/06/1998,dfgd,dfgf,,,,,"08 -9107840"
temp,temp@mail.com,206748576,Three,"temp F name",,"temp L name",male,11/05/1998,Ahmedabad," ",,,,,050-4301100
test,test@mail.com,207573080,Three,"Test F name",,"test L name",male,04/11/1998,Abad,Abad,,,,,052-6552784
test1155,tsat5w@gmail.com,545,Five,ashvin,manme,makvana,male,07/02/15,halvad,halvad,state,989858,9875879898,87878787,878787
test123,test@gmail.com,A-101,Five,Test,,lasttest,male,09/08/2015,fghf,hfghfg,gujarat,555555,5555555555,5555555555,555-877-999
test456,dsgsdf@sfs.sdf,207524893,Five,ashcvnj,,mskajf,male,02/02/1998,halvab,bhah,jhjh,,,,050-8353841
ujujjjjjj,fhfggf@hh.fhhf,206926222,Five,testset,,fsdf,female,06/02/1998,sdfsdd,dgd,ggff,,,,052-6301796
up123,up@gmail.com,65,Five,bjbj,hyfg,hgf,female,07/02/15,halbad,cityname,gujarat,98989,89898989,898989898,9899889
vihar,vihar@mail.com,315241539,Three,Vihar,,Patel,male,18/11/1998,Ahmedabad,Ahmedabad,,,,,"03 -5066742"
